hhdi,add_line1,barangay,city,2112,province,PH,classification,remarks
150009,,PAGASA,ORANI,2605,province,PH,,
150010,,PAGASA,ORANI,2606,province,PH,,
150011,,PAGASA,ORANI,2607,province,PH,,
150012,,PAGASA,ORANI,2608,province,PH,,
150013,,PAGASA,ORANI,2609,province,PH,,
150014,,PAGASA,ORANI,2610,province,PH,,
150015,,PAGASA,ORANI,2611,province,PH,,
150016,,PAGASA,ORANI,2612,province,PH,,
150017,,PAGASA,ORANI,2613,province,PH,,
150018,,PAGASA,ORANI,2614,province,PH,,
150019,,PAGASA,ORANI,2615,province,PH,,
150020,,PAGASA,ORANI,2616,province,PH,,
150021,,PAGASA,ORANI,2617,province,PH,,
150022,,PAGASA,ORANI,2618,province,PH,,
150023,,PAGASA,ORANI,2619,province,PH,,
150024,,PAGASA,ORANI,2620,province,PH,,
150025,,PAGASA,ORANI,2621,province,PH,,
150026,,PAGASA,ORANI,2622,province,PH,,
150027,,PAGASA,ORANI,2623,province,PH,,
150028,,PAGASA,ORANI,2624,province,PH,,
150029,,PAGASA,ORANI,2625,province,PH,,
150030,,PAGASA,ORANI,2626,province,PH,,
150031,,PAGASA,ORANI,2627,province,PH,,
150032,,PAGASA,ORANI,2628,province,PH,,
150033,,PAGASA,ORANI,2629,province,PH,,
150034,,PAGASA,ORANI,2630,province,PH,,
150035,,PAGASA,ORANI,2631,province,PH,,
150036,,PAGASA,ORANI,2632,province,PH,,
150037,,PAGASA,ORANI,2633,province,PH,,
150038,,PAGASA,ORANI,2634,province,PH,,
150039,,PAGASA,ORANI,2635,province,PH,,
150040,,PAGASA,ORANI,2636,province,PH,,
150041,,PAGASA,ORANI,2637,province,PH,,
150042,,PAGASA,ORANI,2638,province,PH,,
150043,,PAGASA,ORANI,2639,province,PH,,
150044,,PAGASA,ORANI,2640,province,PH,,
150045,,PAGASA,ORANI,2641,province,PH,,
150046,,PAGASA,ORANI,2642,province,PH,,
150047,,PAGASA,ORANI,2643,province,PH,,
150048,,PAGASA,ORANI,2644,province,PH,,
